layer,text,value,uplink,fCode
2,(A00-A09) 腸管感染症(A00-A09),010003,010002,A
3,A00 コレラ,010004,010003,A
3,A00.0 コレラ菌によるコレラ,010005,010003,A
3,A00.1 エルトールコレラ菌によるコレラ,010006,010003,A
3,A00.9 コレラ,詳細不明,010007,010003,A
3,A01 腸チフス及びパラチフス,010008,010003,A
3,A01.0 腸チフス,010009,010003,A
3,A01.1 パラチフスA,010010,010003,A
3,A01.2 パラチフスB,010011,010003,A
3,A01.3 パラチフスC,010012,010003,A
3,A01.4 パラチフス,詳細不明,010013,010003,A
3,A02 その他のサルモネラ感染症,010014,010003,A
3,A02.0 サルモネラ腸炎,010015,010003,A
3,A02.1 サルモネラ敗血症,010016,010003,A
3,A02.2 局所的サルモネラ感染症,010017,010003,A
3,A02.2A サルモネラ髄膜炎,010018,010003,A
3,A02.2B その他,010019,010003,A
3,A02.8 その他の明示されたサルモネラ感染症,010020,010003,A
3,A02.9 サルモネラ感染症,詳細不明,010021,010003,A
3,A03 細菌性赤痢,010022,010003,A
3,A03.0 志賀菌による細菌性赤痢,010023,010003,A
3,A03.1 フレクスナー菌による細菌性赤痢,010024,010003,A
3,A03.2 ボイド菌による細菌性赤痢,010025,010003,A
3,A03.3 ソンネ菌による細菌性赤痢,010026,010003,A
3,A03.8 その他の細菌性赤痢,010027,010003,A
3,A03.9 細菌性赤痢,詳細不明,010028,010003,A
3,A04 その他の細菌性腸管感染症,010029,010003,A
3,A04.0 腸管病原性大腸菌感染症,010030,010003,A
3,A04.1 腸管毒素原性大腸菌感染症,010031,010003,A
3,A04.2 腸管組織侵襲性大腸菌感染症,010032,010003,A
3,A04.3 腸管出血性大腸菌感染症,010033,010003,A
3,A04.4 その他の大腸菌性腸管感染症,010034,010003,A
3,A04.5 カンピロバクター腸炎,010035,010003,A
3,A04.6 エルシニア　エンテロコリチカによる腸炎,010036,010003,A
3,A04.7 クロストリジウム・ディフィシルによる腸炎,010037,010003,A
3,A04.8 その他の明示された細菌性腸管感染症,010038,010003,A
3,A04.8A メチシリン耐性黄色ブドウ球菌腸炎,010039,010003,A
3,A04.8B カルバペネム耐性腸内細菌科細菌腸炎,010040,010003,A
3,A04.8C その他,010041,010003,A
3,A04.9 細菌性腸管感染症,詳細不明,010042,010003,A
3,A05 その他の細菌性食中毒,他に分類されないもの,010043,010003,A
3,A05.0 ブドウ球菌性食中毒,010044,010003,A
3,A05.1 ボツリズム〈ボツリヌス中毒〉,010045,010003,A
3,A05.2 ウェルシュ菌食中毒,010046,010003,A
3,A05.3 腸炎ビブリオ食中毒,010047,010003,A
